stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2
480,2023,0.3954230175307061,0.037967929691894955,0.05890534382076111,0.049019028276668604,0.08033185290006914,0.05732680132127426,0.1525262413125532,-0.12772759503946818,-0.04501831562493422,0.13395230172252828,-0.037967929691894955
480,2024,0.5133868926006505,0.09078920983366581,-0.0017299081766052938,0.029364537949199083,0.13131582196720035,-0.02683755394399233,0.07738466578978395,-0.16055947365061082,0.002224842609343534,0.21257970252854494,-0.09078920983366581
490,2022,0.5005881488715298,-0.24899777271529297,0.11290149284771157,-0.03250669360408011,0.04674758590341151,-0.2003180140059367,-0.11996759724010116,0.10899700884266823,0.00847240785983194,0.035918797358288755,0.24899777271529297
490,2023,0.5007466413402663,-0.3355815135163969,0.1343100272783543,-0.05606293835589447,0.08561554962917832,-0.2156172156143506,-0.07975992097403481,0.11913456882823115,0.030615141401995633,0.018580704681047975,0.3355815135163969
490,2024,0.566762152602255,-0.1726812066087926,0.17657934951768886,-0.029920733706355652,0.03714170934865782,-0.19740555046468453,-0.1029181059587487,0.15534418998924682,0.028510281289678516,-0.010769828334234125,0.1726812066087926
500,2022,0.4642315961856408,-0.1437050112492288,-0.06075171847538453,0.21203538531590774,0.091163266789661,-0.0670184664593172,0.08513309381835245,0.005123846168036907,0.19172771439102895,-0.10422037412948074,0.1437050112492288
500,2023,0.5051037273135977,-0.09643604814773225,-0.06352529769558327,0.18125877654784334,0.09650032510440369,-0.06732469013682685,0.06884129937128357,0.004723935301253218,0.14687948192191788,-0.11906774770416241,0.09643604814773225
500,2024,0.5250553663526861,-0.08641764471446876,-0.03238580974174115,0.19420375884261837,0.08613833277388425,-0.07275447571748851,0.04763874046370831,0.020497636681771143,0.19534020023482238,-0.12246387035370448,0.08641764471446876
520,2022,0.5567129772105643,0.4732605970754436,0.1662650238957609,0.04982672061124884,0.0552576025137442,0.01773026139201138,0.03529317748801463,-0.11170448731358389,0.0066171414285119525,0.07856066789326492,-0.4732605970754436
520,2023,0.5567129772105643,0.4732605970754436,0.1662650238957609,0.04982672061124884,0.0552576025137442,0.01773026139201138,0.03529317748801463,-0.11170448731358389,0.0066171414285119525,0.07856066789326492,-0.4732605970754436
520,2024,0.4788017961285087,0.3118405392805961,-0.22394499569809237,0.02081588833729672,-0.17019690785753594,-0.03088126233158896,-0.02434984474328625,-0.058283121629177176,0.05381774489183872,0.010795648078272864,-0.3118405392805961
540,2022,0.5120511429991436,0.3417082400393118,-0.15252328282248104,-0.08420714497646076,-0.05477721275596883,0.03803869388984427,-0.13773732770891123,0.07455358527356135,0.007370671330874158,0.026228085878794303,-0.3417082400393118
540,2023,0.5017944780932101,0.4652298358037211,0.2099776216573382,-0.14021648919871305,0.030680027303974903,0.009217606405289827,-0.0012568974542588364,0.11350786647177429,0.00866991789862661,-0.01377072745170994,-0.4652298358037211
540,2024,0.5044251018098219,0.46315100365055895,0.15516926085640792,-0.1323447359968287,0.0035932737397594253,0.015022019083774343,-0.052980502762952165,0.028360176833678835,-0.05982601471976467,-0.008383474092202033,-0.46315100365055895
