company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
국보,1140,104519,2024,CFS,ok,40641437841.0,-7753996792.0,-27194991844.0,75396030106.0,65584592018.0,9811438088.0,비금융업
금호전기,1210,106395,2022,CFS,ok,46015093156.0,-11787966654.0,-16903661108.0,61814213952.0,48974883827.0,12839330125.0,비금융업
금호전기,1210,106395,2023,CFS,ok,53372993650.0,-8228668329.0,-18342317139.0,52905126549.0,45756810075.0,7148316474.0,비금융업
금호전기,1210,106395,2024,CFS,ok,53171559352.0,-4957267533.0,-13843864042.0,33341564828.0,24425699025.0,8915865803.0,비금융업
기아,270,106641,2022,CFS,ok,86559029000000.0,7233120000000.0,5408976000000.0,73710965000000.0,34367884000000.0,39343081000000.0,비금융업
기아,270,106641,2023,CFS,ok,99808420000000.0,11607873000000.0,8777817000000.0,80627826000000.0,34069591000000.0,46558235000000.0,비금융업
기아,270,106641,2024,CFS,ok,107448752000000.0,12667139000000.0,9775005000000.0,92755874000000.0,36915565000000.0,55840309000000.0,비금융업
깨끗한나라,4540,113492,2022,CFS,ok,606453743473.0,3754759313.0,-2908390769.0,661046979250.0,419699356872.0,241347622378.0,비금융업
깨끗한나라,4540,113492,2023,CFS,ok,514854128376.0,-18914851966.0,-30844136630.0,641522252002.0,429919829263.0,211602422739.0,비금융업
깨끗한나라,4540,113492,2024,CFS,ok,537049885546.0,-902193220.0,-22142799877.0,621077310491.0,430942361723.0,190134948768.0,비금융업
남광토건,1260,107066,2022,CFS,ok,450379452331.0,11115819532.0,19332575729.0,345922884373.0,238920806341.0,107002078032.0,비금융업
남광토건,1260,107066,2023,CFS,ok,547683547225.0,4346983076.0,5988599636.0,377327938424.0,264295801416.0,113032137008.0,비금융업
남광토건,1260,107066,2024,CFS,ok,504249000325.0,7304140896.0,6198754619.0,417033569966.0,297349706762.0,119683863204.0,비금융업
남양유업,3920,107598,2022,CFS,ok,964660006375.0,-86806775040.0,-78442348379.0,902259070497.0,164307809198.0,737951261299.0,비금융업
남양유업,3920,107598,2023,CFS,ok,996763358982.0,-72354443617.0,-67099919179.0,790678468255.0,112447509970.0,678230958285.0,비금융업
남양유업,3920,107598,2024,CFS,ok,952794199365.0,-9807235105.0,249980282.0,724193724088.0,92408003076.0,631785721012.0,비금융업
넥센타이어,2350,173874,2022,CFS,ok,2597424486492.0,-54253533449.0,-27505695404.0,3944336739608.0,2348104911877.0,1596231827731.0,비금융업
넥센타이어,2350,173874,2023,CFS,ok,2701720151279.0,186991098059.0,103115550054.0,4232661554569.0,2527778745177.0,1704882809392.0,비금융업
넥센타이어,2350,173874,2024,CFS,ok,2847925036412.0,172136969776.0,126718873995.0,4574474470953.0,2702865100532.0,1871609370421.0,비금융업
노루홀딩스,320,113508,2022,CFS,ok,1037899570197.0,29976023937.0,33390806659.0,1171989377978.0,511163923981.0,660825453997.0,비금융업
노루홀딩스,320,113508,2023,CFS,ok,1214616529837.0,67435854564.0,51679439985.0,1188823571530.0,495031925010.0,693791646520.0,비금융업
노루홀딩스,320,113508,2024,CFS,ok,1247877697168.0,72554697963.0,82067736372.0,1214838948245.0,442599207599.0,772239740646.0,비금융업
농심,4370,108241,2022,CFS,ok,3129065208087.0,112172856716.0,116033570018.0,3034718535547.0,719378356883.0,2315340178664.0,비금융업
농심,4370,108241,2023,CFS,ok,3410559367259.0,212064743455.0,171469224876.0,3234751426458.0,793949665281.0,2440801761177.0,비금융업
농심,4370,108241,2024,CFS,ok,3438730857998.0,163073931930.0,157630314203.0,3597461570702.0,924886441245.0,2672575129457.0,비금융업
대동,490,109286,2022,CFS,ok,1463737929724.0,88279120517.0,38470968608.0,1713773205581.0,1241782449283.0,471990756298.0,비금융업
대동,490,109286,2023,CFS,ok,1433390777280.0,65403445106.0,11919509695.0,1956376110942.0,1379316412077.0,577059698865.0,비금융업
대동,490,109286,2024,CFS,ok,1415582422216.0,18456574878.0,-45134481978.0,2132627316122.0,1531411970874.0,601215345248.0,비금융업
대상,1680,121941,2022,CFS,ok,4084090277577.0,139998990821.0,82218894929.0,3190196448368.0,1867569946984.0,1322626501384.0,비금융업
대상,1680,121941,2023,CFS,ok,4107493943805.0,123716647215.0,68563901324.0,3334370027478.0,1990623422846.0,1343746604632.0,비금융업
대상,1680,121941,2024,CFS,ok,4255134757567.0,176941145485.0,96688841815.0,3509835110048.0,2062236472429.0,1447598637619.0,비금융업
대원강업,430,111847,2022,CFS,ok,1024450498787.0,22056715849.0,23233915898.0,1010418825338.0,412406943010.0,598011882328.0,비금융업
대원강업,430,111847,2023,CFS,ok,1106756862193.0,59171860226.0,37786380416.0,1026303658490.0,408110668532.0,618192989958.0,비금융업
대원강업,430,111847,2024,CFS,ok,1367585047000.0,22564927000.0,31896742000.0,1302349327000.0,621334585000.0,681014742000.0,비금융업
대한방직,1070,112970,2022,CFS,ok,191519691272.0,-3886402441.0,-5230874590.0,210639557874.0,75392116742.0,135247441132.0,비금융업
대한방직,1070,112970,2023,CFS,ok,149403981153.0,-1812481976.0,-3671292616.0,180718514592.0,49782242505.0,130936272087.0,비금융업
대한방직,1070,112970,2024,CFS,ok,133909117274.0,2418669755.0,1115646565.0,185398515032.0,53060622616.0,132337892416.0,비금융업
대한전선,1440,113207,2022,CFS,ok,2450545975000.0,48173734000.0,21830706000.0,1620264871000.0,738060568000.0,882204303000.0,비금융업
대한전선,1440,113207,2023,CFS,ok,2843980012000.0,79823888000.0,71872998000.0,1878565100000.0,925279344000.0,953285756000.0,비금융업
대한전선,1440,113207,2024,CFS,ok,3291299375000.0,115169757000.0,74190402000.0,2642726208000.0,1146613736000.0,1496112472000.0,비금융업
