stock_code,fiscal_year,E_seed,S_seed,G_seed,ESG_seed_index,E_seed_norm,S_seed_norm,G_seed_norm,ESG_seed_norm,E_seed_log,S_seed_log,G_seed_log,ESG_seed_log,text_length,induty_code,induty_name,E_intensive,E_ratio,S_ratio,G_ratio,E_seed_win,S_seed_win,G_seed_win,E_seed_norm_log,S_seed_norm_log,G_seed_norm_log,ESG_seed_norm_log,E_industry_z,S_industry_z,G_industry_z,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2,low_token_flag,esg_grade,e_grade,s_grade,g_grade,esg_year,company_name,esg_numeric,e_numeric,s_numeric,g_numeric,neg_KRFPC1,KRFPC2,E_finbert,S_finbert,G_finbert,X_finbert
001440,2022,13,4,31,48,4.99231950844854,1.5360983102918586,11.904761904761903,18.433179723502302,2.6390573296152584,1.6094379124341005,3.4657359027997265,3.8918202981106265,2604,28302,기계,0,0.2708333333333333,0.0833333333333333,0.6458333333333334,13,4.0,31,1.7904785672980872,0.9306268017115588,2.5575963831562776,2.9669819002061004,-0.7535865797168019,0.5578974383047517,1.293531610085469,0.5920417482661364,0.0002361344921042,0.0604634400103618,0.1023496970855864,0.1507228016192027,-0.0103036575709181,0.0702853871325901,-0.0435924368250318,0.1092782380234472,-0.063875983829987,-0.0002361344921042,0,A,B+,A+,B+,2022,대한전선,4,3,5,3,0.4209915074886093,0.1980190519936682,0.0868227045655763,0.0612759166536346,0.2411443929544791,0.0734153554860866
001440,2023,17,2,28,47,6.217995610826628,0.731528895391368,10.241404535479152,17.190929041697146,2.8903717578961645,1.0986122886681098,3.367295829986474,3.871201010907891,2734,28302,기계,0,0.3617021276595745,0.0425531914893617,0.5957446808510638,17,2.0,28,1.976577298133217,0.5490047727900343,2.419603795331383,2.9009230655356864,0.3484113830456148,-0.4362634058323144,0.7435203622811757,0.5485675108616446,-0.0030262508178772,0.0168605344941344,0.0960548805593845,0.1158720730439849,-0.0236386038512485,0.0483260840379787,-0.0969428259516562,0.0450119633124411,-0.0755324380371161,0.0030262508178772,0,A,A,A+,B+,2023,대한전선,4,4,5,3,0.3219466521852095,0.3754952859892656,0.1023280368280018,0.0534488407623333,0.2168806880151599,0.0989080051248575
001440,2024,23,2,28,53,7.350591243208693,0.6391818472355385,8.94854586129754,16.93831895174177,3.1780538303479458,1.0986122886681098,3.367295829986474,3.9889840465642745,3129,28302,기계,0,0.4339622641509434,0.0377358490566037,0.5283018867924528,23,2.0,28,2.1223323439259296,0.4941972437203863,2.2974263958971277,2.8869391483238744,1.3667212587925737,-0.5503714214340765,0.3160194380944163,0.5387350307966283,-0.0716688177940796,0.0496517086426195,0.0279520881828333,0.0890984635924437,-0.0162952210749041,0.0441495227700397,-0.0931200742831034,0.0593310480615619,-0.082268789342305,0.0716688177940796,0,A,A,A+,B+,2024,대한전선,4,4,5,3,0.6898435498545896,0.2404205366271105,0.129058730014755,0.0478865672737204,0.1911163708867388,0.0869313660846091
001450,2022,2,20,8,30,1.024590163934426,10.245901639344265,4.098360655737705,15.368852459016392,1.0986122886681098,3.044522437723423,2.1972245773362196,3.4339872044851463,1952,65121,보험,0,0.0666666666666666,0.6666666666666666,0.2666666666666666,2,20.0,8,0.7053672918947205,2.420003763552574,1.6289190480059228,2.7953802886825585,1.792443247804214,0.5065928649688375,-0.9871166381850516,0.3434537535657537,-0.0290691327208336,-0.1406264264731037,-0.073463564719761,0.0430649603126396,-0.0550477799824924,-0.2071130279718144,-0.0869919749627073,-0.2450322521958358,0.2322350614387295,0.0290691327208336,0,B+,A,A,B+,2022,현대해상,3,4,4,3,0.7568451069898748,0.440773135716816,0.0063442398192516,0.2079612752136758,0.0988826396603958,0.1593181773756729
001450,2023,2,24,8,34,0.9119927040583676,10.94391244870041,3.64797081623347,15.503875968992247,1.0986122886681098,3.218875824868201,2.1972245773362196,3.5553480614894135,2193,65121,보험,0,0.0588235294117647,0.7058823529411765,0.2352941176470588,2,24.0,8,0.6481459987528745,2.480221730061029,1.5364307407505249,2.8035952605318073,1.5430890579260552,0.5944821643938059,-1.030556781280435,0.3322030184735792,-0.0398872548474479,-0.1393564030511143,-0.0748207959833789,0.0462635541285432,-0.0559942356848772,-0.2057410616439972,-0.0893498263646123,-0.2463020761183999,0.236887946913172,0.0398872548474479,0,A,A,A+,A,2023,현대해상,4,4,5,4,0.6913132469341753,0.6306901801099059,0.0044521985481777,0.1758212366613507,0.1050855807172613,0.2490085380559321
001450,2024,3,22,6,31,1.2914334911752046,9.470512268618169,2.582866982350409,13.34481274214378,1.3862943611198906,3.1354942159291497,1.9459101490553132,3.4657359027997265,2323,65121,보험,0,0.0967741935483871,0.7096774193548387,0.1935483870967742,3,22.0,6,0.8291776004023483,2.3485629509652175,1.276163312975686,2.663388395471777,2.383384657688229,0.4089605250949826,-1.1332861479247889,0.2847133794682209,-0.0530725838544937,-0.1214891324953295,-0.0544618653867446,0.0475781762384782,-0.0539684648591536,-0.1490625101093222,-0.1134032928954533,-0.2581762297424155,0.2058445112175694,0.0530725838544937,0,A,A,A+,A,2024,현대해상,4,4,5,4,1.004707980907973,0.5013609499692369,0.0036960272273669,0.1983440189751693,0.0803614874574122,0.2331568834177839
001460,2022,0,0,10,10,0.0,0.0,34.48275862068966,34.48275862068966,0.0,0.0,2.3978952727983707,2.3978952727983707,290,14120,의복,0,0.0,0.0,1.0,0,0.0,10,0.0,0.0,3.569046905847576,3.569046905847576,0.0,-1.1518136294749726,1.1518136294749717,0.4282573727946315,0.4693754852300867,0.2985628787847542,-0.1288227144084562,-0.0108685380988209,0.0602513290795177,0.0443452304816268,-0.0929652585381364,0.0260042408252819,-0.0204762373333589,-0.4693754852300867,0,D,D,D,D,2022,BYC,0,0,0,0,-3.510409593207834,-1.787245569639913,0.0006829485694955,0.0012100618938954,0.4968428904103348,0.0006351934644044
001460,2023,0,1,10,11,0.0,2.941176470588235,29.41176470588235,32.35294117647059,0.0,0.6931471805599453,2.3978952727983707,2.4849066497880004,340,14120,의복,0,0.0,0.0909090909090909,0.9090909090909092,0,1.0,10,0.0,1.37147927533475,3.414829530452213,3.507145959671536,0.0,0.6465752109041453,-0.6465752109041464,0.4412653006885365,0.464000793582623,0.2852293489790273,-0.1493557095590695,0.0045529526534021,0.055264438951585,0.0106070997105626,-0.0887412930319552,0.0387898847326376,-0.0020435006927938,-0.464000793582623,0,D,D,D,D,2023,BYC,0,0,0,0,-2.5611480149395582,-1.7336411562587803,0.0009511668429089,0.0647511745046358,0.4006865961593576,0.0015197978646028
001460,2024,0,1,11,12,0.0,2.710027100271003,29.81029810298103,32.520325203252035,0.0,0.6931471805599453,2.4849066497880004,2.5649493574615367,369,14120,의복,0,0.0,0.0833333333333333,0.9166666666666666,0,1.0,11,0.0,1.3110391812479216,3.4278489880885794,3.5121519773344825,0.0,0.5052384185708272,-0.5052384185708279,0.4373705884523532,0.4600108141947807,0.2795896621555339,-0.1485362852335237,0.0007499363138627,0.053840842921925,0.0085256598288958,-0.089352201934965,0.0439600139320657,0.0053082271060755,-0.4600108141947807,0,D,D,D,C,2024,BYC,0,0,0,1,-2.398187085242358,-1.3513519722512624,0.0010323507368512,0.0544749895683101,0.4160324692202266,0.0014130310689021
001470,2022,6,9,38,53,2.179440610243371,3.269160915365056,13.80312386487468,19.25172539048311,1.9459101490553132,2.302585092994046,3.6635616461296463,3.9889840465642745,2753,41221,종합건설,0,0.1132075471698113,0.1698113207547169,0.7169811320754716,6,9.0,38,1.1567052725898308,1.451417300990247,2.6948382304485112,3.0082399943911553,-0.6467519101026348,0.8779458986092878,1.179686046300827,0.5838757725505358,0.1607467799062132,0.0744176528884235,0.0594856740446147,-0.0189623000170673,-0.0808246158022937,0.0845499292678276,-0.1261235280553717,-0.0520989746951291,-0.0353167592529118,-0.1607467799062132,0,D,D,D,C,2022,삼부토건,0,0,0,1,-0.5527665721990472,0.2809757426202591,0.0359254860660358,0.0885994981140862,0.2636397736023355,0.0991454839422658
