stock_code,fiscal_year,assets,debt,income
005610,2024,1240796531981.0,760966764852.0,86491702785.0
005850,2022,2931636940305.0,1225627791292.0,165912606043.0
005850,2023,3235734467246.0,3235734467246.0,349266124228.0
005850,2024,3698864220516.0,1301616145058.0,381963573388.0
005950,2022,1188076573138.0,782591483389.0,26233638344.0
005950,2023,1093466713681.0,1093466713681.0,-28074913226.0
005950,2024,957246232000.0,957246232000.0,-38208992000.0
000020,2022,461136459052.0,82463208091.0,21591210925.0
000020,2023,564972408621.0,564972408621.0,28237045586.0
000020,2024,619634925512.0,619634925512.0,2146096510.0
000050,2022,1248318313535.0,493309854178.0,4415249761.0
000050,2023,1206860950940.0,1206860950940.0,-13452219151.0
000050,2024,1214347475924.0,454721013440.0,23594327570.0
000220,2022,195205072788.0,71831031376.0,-4425392926.0
000220,2023,198213526767.0,198213526767.0,-5540581558.0
000220,2024,207687399005.0,207687399005.0,10289303485.0
000480,2022,1620442052683.0,793378121821.0,49575574685.0
000480,2023,1621801858956.0,1621801858956.0,26857674151.0
000480,2024,1697695581000.0,1697695581000.0,2470935000.0
000520,2022,356700496639.0,230880901101.0,-28287010.0
000520,2023,370680097036.0,242852725250.0,1663539539.0
000520,2024,395071163939.0,218947290895.0,-5628801989.0
000590,2022,364121570785.0,33693421213.0,18788497648.0
000590,2023,383909710687.0,383909710687.0,22145557927.0
000590,2024,412586797943.0,412586797943.0,37853224906.0
000850,2022,474032615936.0,128766812502.0,37485626338.0
000850,2023,463885406068.0,463885406068.0,10563122927.0
000850,2024,428809811685.0,428809811685.0,8654343281.0
000910,2022,376111723330.0,201552927080.0,-9138513568.0
000910,2023,382846276957.0,206746720586.0,-2562126203.0
000910,2024,305473764776.0,203861422466.0,
000990,2022,2122700474808.0,484416396415.0,558836662217.0
000990,2023,2043378694132.0,2043378694132.0,264149250979.0
000990,2024,2396851168578.0,2396851168578.0,229385888355.0
001020,2022,501830145462.0,440215219986.0,-1828714243.0
001020,2023,491668368146.0,491668368146.0,15232336453.0
001020,2024,490046182315.0,490046182315.0,-9682981858.0
001070,2022,210639557874.0,75392116742.0,-5230874590.0
001070,2023,180718514592.0,49782242505.0,-3671292616.0
001070,2024,185398515032.0,53060622616.0,1115646565.0
001130,2022,1318431898542.0,399078814703.0,41343753991.0
001130,2023,1401353854060.0,1401353854060.0,81242498761.0
001130,2024,1560462376675.0,523130128106.0,48829120223.0
001200,2022,,,
001200,2023,8699332043240.0,7687427343652.0,30696475248.0
001200,2024,9646708149349.0,8595331993613.0,49619329316.0
001270,2022,,,
001270,2023,1770492019487.0,1012607100628.0,57306543254.0
001270,2024,1651368375233.0,881102905317.0,30952554750.0
001290,2022,,,
001290,2023,2173761439448.0,2173761439448.0,487236451.0
001290,2024,1230922556862.0,1230922556862.0,-47346647857.0
001390,2022,6981908974784.0,3741042484468.0,657053815699.0
001390,2023,7818145771325.0,7818145771325.0,350715471304.0
001390,2024,8160948249649.0,8160948249649.0,228495720589.0
001520,2022,983550240798.0,200018245461.0,9954374483.0
001520,2023,1099649987596.0,1099649987596.0,18191365663.0
001520,2024,1316088357178.0,1316088357178.0,-74230237505.0
001560,2022,104117875897.0,11951004596.0,2207065876.0
001560,2023,106615084744.0,106615084744.0,10917005887.0
001560,2024,116092096071.0,116092096071.0,6006943143.0
000040,2022,149185245583.0,109161230426.0,-13001279643.0
000040,2023,138570416599.0,116165786012.0,-21026668952.0
000040,2024,85272527872.0,52629712095.0,-14222283251.0
000180,2022,820314254965.0,224541467009.0,-13134358819.0
000180,2023,769067174916.0,769067174916.0,-24022292887.0
000180,2024,719893318041.0,719893318041.0,-3623156326.0
000250,2022,373275926268.0,127634262627.0,8831820464.0
000250,2023,408021822012.0,408021822012.0,-4187753548.0
000250,2024,519772210839.0,519772210839.0,-5078046827.0
000650,2022,,,
000650,2023,,,
000650,2024,,,
000760,2022,268217246459.0,58496402565.0,864473481.0
000760,2023,265952518844.0,265952518844.0,-2102669509.0
000760,2024,269760591981.0,269760591981.0,-270822831.0
000890,2022,147392500947.0,64936220688.0,-2828783632.0
000890,2023,143300746774.0,143300746774.0,-3555068227.0
000890,2024,138831713491.0,138831713491.0,6685688838.0
000950,2022,315467888634.0,104809893220.0,67453344175.0
000950,2023,236979137636.0,236979137636.0,-19193789810.0
000950,2024,231974001581.0,231974001581.0,8913315702.0
000970,2022,424608629316.0,73948278772.0,12067999270.0
000970,2023,434108102058.0,74562473227.0,17420022071.0
000970,2024,429705980847.0,73720798815.0,14347893535.0
001080,2022,,,
001080,2023,,,
001080,2024,,,
001140,2022,109959854401.0,66871513556.0,-24431930755.0
001140,2023,91419723256.0,91419723256.0,-31563058092.0
001140,2024,75396030106.0,75396030106.0,-27194991844.0
001210,2022,61814213952.0,48974883827.0,-16903661108.0
001210,2023,52905126549.0,52905126549.0,-18342317139.0
001210,2024,33341564828.0,33341564828.0,-13843864042.0
001260,2022,345922884373.0,238920806341.0,19332575729.0
001260,2023,377327938424.0,377327938424.0,5988599636.0
001260,2024,417033569966.0,417033569966.0,6198754619.0
001340,2022,404267600510.0,194591585576.0,22702656071.0
001340,2023,426908196303.0,426908196303.0,7728814098.0
