stock_code,fiscal_year,Climate Change,Natural Capital,Pollution & Waste,Human Capital,Product Liability,Community Relations,Corporate Governance,Business Ethics & Values,Non-ESG,E_finbert,S_finbert,G_finbert,X_finbert
000320,2023,0.028963752902200213,0.011388802638975903,0.026378581238532206,0.18492867433815263,0.21167110224178032,0.12414428898046026,0.26685424482639064,0.0875687917432515,0.05810174872385687,0.022243712259902775,0.17358135518679774,0.17721151828482107,0.05810174872385687
000320,2024,0.022060357999228137,0.05064805370363358,0.03216557705002886,0.15855481558920523,0.22988376933330743,0.15419934663652002,0.2251785740188911,0.07693662566721048,0.05037287119959824,0.034957996250963526,0.18087931051967754,0.15105759984305078,0.05037287119959824
000370,2022,0.05582835210952908,0.026536065933760254,0.006769441512005869,0.06986308511259268,0.0278194502570841,0.09937207010443672,0.5541805956374446,0.14276792709861183,0.016863010226370535,0.029711286518431735,0.06568486849137116,0.3484742613680282,0.016863010226370535
000370,2023,0.03359775767721412,0.003928136192199246,0.008675401939104337,0.13288610521074687,0.04354426488626396,0.025525576718201912,0.6029345207718654,0.1071280226932612,0.04178021690883749,0.015400431936172567,0.06731864893840424,0.35503127173256327,0.04178021690883749
000370,2024,0.012957474578676435,0.0033299079766341794,0.006453196630657961,0.136301581588729,0.046822530271795886,0.04144391076600489,0.641871878366995,0.056985478423302996,0.05383403402714369,0.0075801930619895245,0.0748560075421766,0.349428678395149,0.05383403402714369
000390,2022,0.063609214015014,0.08821855640708236,0.05393458976468537,0.0790915231249528,0.0930155125708552,0.132818441366544,0.3798851025523618,0.06294936321792192,0.04647768783761421,0.06858745339559391,0.10164182568745066,0.22141723288514187,0.04647768783761421
000390,2023,0.0508139183887882,0.08289025886794359,0.14407120050600497,0.1242996901589019,0.06354720200761221,0.12443474794660385,0.32595443177463795,0.059733153953857254,0.02425539286802329,0.09259179258757892,0.10409388003770599,0.1928437928642476,0.02425539286802329
000390,2024,0.08387398974853567,0.07901319593074732,0.162968279204797,0.11470435111550614,0.07997333123348653,0.0771929288294632,0.31405009957263247,0.028018446273636075,0.06020537480013445,0.10861848829469334,0.0906235370594853,0.17103427292313428,0.06020537480013445
000400,2022,0.02152184769511223,0.003468030598014593,0.004399823024868965,0.18206565082073212,0.014986487105488777,0.7451768517494202,0.004559742286801338,0.016983503475785255,0.0068380385637283325,0.009796567105998596,0.31407632989188033,0.010771622881293297,0.0068380385637283325
000400,2023,0.0053237576366347425,0.002830478559617939,0.00925149121287498,0.021446593331775683,0.009836485285846078,0.12776267885655054,0.6300579373320729,0.1760387799346491,0.017451804182629156,0.005801909136375887,0.053015252491390774,0.403048358633361,0.017451804182629156
