stock_code,fiscal_year,E_consistency,G_consistency,S_consistency,ESG_consistency,E_greenwash_flag,G_greenwash_flag,S_greenwash_flag,z_E_intensity,z_E_content,z_E_semantic,z_G_intensity,z_G_content,z_G_semantic,z_S_intensity,z_S_content,z_S_semantic
000230,2022,-0.29446758700541953,-0.15728897940449224,-0.33451971865947344,-0.2620920950231284,0,0,0,-0.48875243577925764,-0.4171009329831417,0.05331735360905321,-0.06439977842956565,0.12553231286710453,-0.18660605985831322,0.23010372393632944,-0.4171009329831417,0.05331735360905321
000230,2023,-0.1891733410496706,-0.11089053501331667,-0.40027374670537286,-0.23344587425612004,0,0,0,-0.6548494119601829,-0.6104175170786642,-0.30724290852614766,0.12048745221202625,0.15743418151264693,-0.05042328136692031,0.18282474467196924,-0.6104175170786642,-0.30724290852614766
000230,2024,-0.21448347369894438,-0.8069998897676612,-0.2348798965475657,-0.4187877533380571,0,0,0,-0.5933019911438857,-1.0115662843911088,-0.719967676610867,0.3214247670401868,0.509722943293074,-0.9726459811236919,-0.5468102650017622,-1.0115662843911088,-0.719967676610867
000240,2022,-0.24632097933152017,-0.5425164122101735,-0.2841936090727666,-0.35767700020482013,0,0,0,0.2664296664069907,-0.18856094336100057,0.20251838685472226,0.21737138288099986,1.137127865836111,1.1757555737701246,-0.3502197390867907,-0.18856094336100057,0.20251838685472226
000240,2023,-0.3086524109031592,-0.31303097439909616,-0.08378422208136974,-0.23515586912787503,0,0,0,0.11144671494262624,-0.4709660675765066,-0.35694727559448236,0.5216572876268667,0.7340708925016818,1.1378891072426547,-0.3076120717434679,-0.4709660675765066,-0.35694727559448236
000240,2024,-0.7181431462426908,-0.9135442037230422,-0.6245012774226714,-0.7520628757961348,1,0,0,1.4577662419424913,0.9170639292335657,0.03506119365227994,-0.33218839176250803,0.42953317103554184,1.486908890370758,-0.28980878371107327,0.9170639292335657,0.03506119365227994
000250,2022,-0.8315262331284748,-2.1287809959264448,-0.43883291716267575,-1.1330467154058652,0,0,0,-1.2641618509404342,0.13379956864434836,0.21493778001517716,-0.12686571799944113,-2.3900183570822766,1.8646542922274132,0.9311945661623351,0.13379956864434836,0.21493778001517716
000250,2023,-0.8997936719722678,-2.262242796424519,-0.809882890693365,-1.3239731196967173,0,0,0,-1.2641618509404342,0.10136344717067924,0.433682790629977,-0.3142127696566729,-2.479937509310872,2.0431944246581417,1.6404410991109486,0.10136344717067924,0.433682790629977
000250,2024,-0.8467654950459558,-0.9918970451366199,-0.8013741618357506,-0.8800122340061088,0,0,0,-1.2641618509404342,0.1652129708484529,0.23710112843313372,-0.1803594601421086,-1.5320987728676667,0.4012206309110679,1.5877809032410282,0.1652129708484529,0.23710112843313372
000270,2022,-0.19783576569367736,-0.5060111365143228,-0.21306253647926562,-0.30563647956242196,0,0,0,0.8799292813177528,1.0319884008270115,0.6396117394682066,0.0813270634926454,0.9525979123260792,0.9628404328778825,0.6918648414208534,1.0319884008270115,0.6396117394682066
000270,2023,-0.15972122068548802,-0.5867450203869486,-0.21860663184814774,-0.3216909576401948,0,0,0,0.9148697343514846,0.9922133044107353,0.685127503093483,0.07107601139885877,0.8088624255270644,1.2302619251182396,0.5691517375414353,0.9922133044107353,0.685127503093483
