stock_code,fiscal_year,E_seed,S_seed,G_seed,ESG_seed_index,E_seed_norm,S_seed_norm,G_seed_norm,ESG_seed_norm,E_seed_log,S_seed_log,G_seed_log,ESG_seed_log,text_length,induty_code,induty_name,E_intensive,E_ratio,S_ratio,G_ratio,E_seed_win,S_seed_win,G_seed_win,E_seed_norm_log,S_seed_norm_log,G_seed_norm_log,ESG_seed_norm_log,E_industry_z,S_industry_z,G_industry_z
003280,2023,0,6,16,22,0.0,4.8348106365834,12.8928283642224,17.7276390008058,0.0,1.9459101490553132,2.833213344056216,3.1354942159291497,1241,50112,수상운송,0,0.0,0.2727272727272727,0.7272727272727273,0,6.0,16,0.0,1.7638418121842134,2.6313727619712437,2.930000454095405,-0.5773502691896258,-0.8478665339395989,1.1294762932470548
003280,2024,2,12,16,30,1.2330456226880393,7.398273736128236,9.864364981504314,18.49568434032059,1.0986122886681098,2.5649493574615367,2.833213344056216,3.4339872044851463,1622,50112,수상운송,0,0.06666666666666667,0.4,0.5333333333333333,2,12.0,16,0.8033664037680004,2.1280261771259052,2.3854881657513167,2.970193125194732,1.1547005383792515,1.10278653201972,-0.772614256950495
003670,2022,65,23,71,159,5.0749531542785755,1.7957526545908806,5.543410368519675,12.414116177389133,4.189654742026425,3.1780538303479458,4.276666119016055,5.075173815233827,12808,282,기계,0,0.4088050314465409,0.14465408805031446,0.44654088050314467,65,23.0,71,1.8041742779670165,1.0281013564351011,1.8784584926308878,2.5963075985457453,-0.6792911690584323,0.8787376011688829,-0.8099339234090283
003670,2023,32,4,36,72,6.035458317615994,0.7544322897019993,6.789890607317994,13.579781214635988,3.49650756146648,1.6094379124341005,3.610917912644224,4.290459441148391,5302,282,기계,0,0.4444444444444444,0.05555555555555555,0.5,32,4.0,36,1.9509628366484217,0.5621453229350715,2.0528268170777664,2.6796357206130526,0.18429320789640805,-0.4079629790453013,-0.39776864602159473
003670,2024,37,8,32,77,6.419153365718251,1.3879250520471893,5.551700208188757,13.358778625954198,3.6375861597263857,2.1972245773362196,3.49650756146648,4.356708826689592,5764,282,기계,0,0.4805194805194805,0.1038961038961039,0.4155844155844156,37,8.0,32,2.0040649490139777,0.8704248097979582,1.8797245897329944,2.664361506099879,0.5292711025541621,0.3748081376590404,-0.8071927776127671
003920,2022,4,4,12,20,4.489337822671156,4.489337822671156,13.468013468013469,22.44668911335578,1.6094379124341005,1.6094379124341005,2.5649493574615367,3.044522437723423,891,104,식료품,0,0.2,0.2,0.6,4,4.0,12,1.702807633068548,1.702807633068548,2.6719402449722955,3.1547292957282402,0.3124299112540168,0.8957105454821797,0.19345401503086043
003920,2023,4,4,16,24,3.475238922675934,3.475238922675934,13.900955690703736,20.8514335360556,1.6094379124341005,1.6094379124341005,2.833213344056216,3.218875824868201,1151,104,식료품,0,0.16666666666666666,0.16666666666666666,0.6666666666666666,4,4.0,16,1.4985597408437026,1.4985597408437026,2.7014253512101982,3.084266527446949,0.02048042559900101,0.28249991093659454,0.26776759799247196
003920,2024,4,3,20,27,2.4539877300613497,1.8404907975460123,12.269938650306749,16.564417177914113,1.6094379124341005,1.3862943611198906,3.044522437723423,3.332204510175204,1630,104,식료품,0,0.14814814814814814,0.1111111111111111,0.7407407407407407,4,3.0,20,1.239529427332928,1.0439768532794718,2.5855012251462965,2.865875104291353,-0.2735281374807973,-0.7060081479300977,-0.012192899715917834
004370,2022,22,29,67,118,2.675422595159917,3.526693420892618,8.147877903441566,14.3499939194941,3.1354942159291497,3.4011973816621555,4.219507705176107,4.77912349311153,8223,108,식료품,0,0.1864406779661017,0.2457627118644068,0.5677966101694916,22,29.0,67,1.3016681179339902,1.5099917438041681,2.2135219292679635,2.731115077908965,-0.20977913334331216,0.31361368642912896,-0.7197355860852204
004370,2023,25,39,61,125,3.0207829869502176,4.712421459642339,7.370710488158531,15.103914934751089,3.258096538021482,3.688879454113936,4.127134385045092,4.836281906951478,8276,108,식료품,0,0.2,0.312,0.488,25,39.0,61,1.3914766565383447,1.7426430072666976,2.1247387659835004,2.779062406080065,-0.11035314170751802,1.0306059275642239,-0.8531346683734249
