stock_code,company_name,fiscal_year,corp_code,CAPEX
002030,아세아,2023,00138701,246876444255.0
002030,아세아,2024,00138701,174172863000.0
002320,한진,2022,00163512,215044155517.0
002320,한진,2023,00163512,157167298594.0
002320,한진,2024,00163512,87419515548.0
000080,하이트진로,2022,00150244,158811744357.0
000080,하이트진로,2023,00150244,157120772101.0
000080,하이트진로,2024,00150244,297828154541.0
000140,하이트진로홀딩스,2022,00148993,159118269257.0
000140,하이트진로홀딩스,2023,00148993,158018501437.0
000140,하이트진로홀딩스,2024,00148993,298096709251.0
000230,일동홀딩스,2022,00146083,12697887671.0
000230,일동홀딩스,2023,00146083,13487391646.0
000230,일동홀딩스,2024,00146083,10971246251.0
000390,삼화페인트공업,2022,00129387,18474972112.0
000390,삼화페인트공업,2023,00129387,6761872239.0
000390,삼화페인트공업,2024,00129387,11505845944.0
000400,롯데손해보험,2022,00113562,
000400,롯데손해보험,2023,00113562,21054489701.0
000400,롯데손해보험,2024,00113562,14102899188.0
000430,대원강업,2022,00111847,30013537490.0
000430,대원강업,2023,00111847,32889542332.0
000430,대원강업,2024,00111847,70853996000.0
000490,대동,2022,00109286,
000490,대동,2023,00109286,56855712617.0
000490,대동,2024,00109286,47525398676.0
000540,흥국화재,2022,00103176,
000540,흥국화재,2023,00103176,2619000000.0
000540,흥국화재,2024,00103176,2980000000.0
000680,LS네트웍스,2022,00104698,6265459637.0
000680,LS네트웍스,2023,00104698,3308205283.0
000680,LS네트웍스,2024,00104698,21092311242.0
000700,유수홀딩스,2022,00163691,827761519.0
000700,유수홀딩스,2023,00163691,3753062990.0
000700,유수홀딩스,2024,00163691,1003138499.0
000810,삼성화재해상보험,2022,00139214,
000810,삼성화재해상보험,2023,00139214,54266413675.0
000810,삼성화재해상보험,2024,00139214,59807154184.0
000860,강남제비스코,2022,00100939,59774666890.0
000860,강남제비스코,2023,00100939,45342448846.0
000860,강남제비스코,2024,00100939,23633943353.0
000880,한화,2022,00160588,1538174000000.0
000880,한화,2023,00160588,4280385000000.0
000880,한화,2024,00160588,5594887000000.0
001060,JW중외제약,2022,00149947,9919427330.0
001060,JW중외제약,2023,00149947,27285983164.0
001060,JW중외제약,2024,00149947,8313026881.0
001250,GS글로벌,2022,00138190,5851049320.0
001250,GS글로벌,2023,00138190,50511588865.0
001250,GS글로벌,2024,00138190,85205215000.0
001500,현대차증권,2022,00137997,
001500,현대차증권,2023,00137997,12413983943.0
001500,현대차증권,2024,00137997,17198000000.0
001510,SK증권,2022,00131850,
001510,SK증권,2023,00131850,2057652104.0
001510,SK증권,2024,00131850,4972122184.0
001720,신영증권,2022,00136721,
001720,신영증권,2023,00136721,
001720,신영증권,2024,00136721,3355893790.0
000240,한국앤컴퍼니,2022,00160047,42993043757.0
000240,한국앤컴퍼니,2023,00160047,31924722127.0
000240,한국앤컴퍼니,2024,00160047,20774395582.0
000500,가온전선,2022,00104768,6659144610.0
000500,가온전선,2023,00104768,10211714061.0
000500,가온전선,2024,00104768,10692281000.0
000670,영풍,2022,00141307,319205241254.0
000670,영풍,2023,00141307,150261509278.0
000670,영풍,2024,00141307,105952849391.0
002350,넥센타이어,2022,00173874,272202869457.0
002350,넥센타이어,2023,00173874,323422175192.0
002350,넥센타이어,2024,00173874,205157990274.0
002600,조흥,2022,00149345,29612386316.0
002600,조흥,2023,00149345,8922489172.0
002600,조흥,2024,00149345,9007218521.0
003240,태광산업,2022,00153393,60881492142.0
003240,태광산업,2023,00153393,-70343640110.0
003240,태광산업,2024,00153393,-75098651778.0
003280,흥아해운,2022,00167208,2056123932.0
003280,흥아해운,2023,00167208,5751043881.0
003280,흥아해운,2024,00167208,28955823340.0
003920,남양유업,2022,00107598,7251527023.0
003920,남양유업,2023,00107598,7902212064.0
003920,남양유업,2024,00107598,2409584026.0
004370,농심,2022,00108241,-92861152156.0
004370,농심,2023,00108241,108011202694.0
004370,농심,2024,00108241,122873686381.0
004540,깨끗한나라,2022,00113492,11609343096.0
004540,깨끗한나라,2023,00113492,15198335708.0
004540,깨끗한나라,2024,00113492,21982483265.0
005090,SGC에너지,2022,00125150,58454097893.0
005090,SGC에너지,2023,00125150,128846033982.0
005090,SGC에너지,2024,00125150,44608610231.0
005290,동진쎄미켐,2022,00118804,92935559922.0
005290,동진쎄미켐,2023,00118804,282834143234.0
005290,동진쎄미켐,2024,00118804,171878113317.0
005500,삼진제약,2022,00128412,1567293819.0
005500,삼진제약,2023,00128412,2965680437.0
005500,삼진제약,2024,00128412,1426567025.0
005610,SPC삼립,2022,00125530,43272336624.0
005610,SPC삼립,2023,00125530,49228192529.0
005610,SPC삼립,2024,00125530,50885351289.0
005850,에스엘,2022,00125521,160309803233.0
005850,에스엘,2023,00125521,160928801963.0
005850,에스엘,2024,00125521,238112954032.0
005950,이수화학,2022,00145552,40707860814.0
005950,이수화학,2023,00145552,34642177425.0
005950,이수화학,2024,00145552,18527581000.0
000020,동화약품,2022,00119195,18428354893.0
000020,동화약품,2023,00119195,24540642551.0
000020,동화약품,2024,00119195,36685291627.0
000050,경방,2022,00101628,8525343642.0
000050,경방,2023,00101628,5255919383.0
000050,경방,2024,00101628,15165065632.0
000220,유유제약,2022,00144818,5282642027.0
000220,유유제약,2023,00144818,4514389128.0
000220,유유제약,2024,00144818,7112037407.0
000480,조선내화,2022,00148984,32940152970.0
000480,시알홀딩스,2023,00148984,40193468074.0
000480,시알홀딩스,2024,00148984,27534781000.0
000520,삼일제약,2022,00128032,48480579607.0
000520,삼일제약,2023,00128032,24243992021.0
000520,삼일제약,2024,00128032,5371510716.0
000590,CS홀딩스,2022,00149026,1166391302.0
000590,CS홀딩스,2023,00149026,603962112.0
000590,CS홀딩스,2024,00149026,364314068.0
000850,화천기공,2022,00166519,6022018075.0
000850,화천기공,2023,00166519,2557551071.0
000850,화천기공,2024,00166519,688622615.0
000910,유니온,2022,00144252,26773478071.0
000910,유니온,2023,00144252,9449890898.0
000910,유니온,2024,00144252,6817134457.0
000990,DB하이텍,2022,00160843,179939556916.0
000990,DB하이텍,2023,00160843,329311056539.0
000990,DB하이텍,2024,00160843,126689883424.0
001020,페이퍼코리아,2022,00134723,10081434829.0
001020,페이퍼코리아,2023,00134723,8818995985.0
001020,페이퍼코리아,2024,00134723,13941869715.0
001070,대한방직,2022,00112970,-2617509855.0
001070,대한방직,2023,00112970,-1474734463.0
001070,대한방직,2024,00112970,-2710268730.0
001130,대한제분,2022,00113243,11284431877.0
001130,대한제분,2023,00113243,11214543508.0
001130,대한제분,2024,00113243,16744073849.0
001200,유진증권,2022,00131054,
001200,유진증권,2023,00131054,2470715744.0
001200,유진증권,2024,00131054,4166148440.0
001270,부국증권,2022,00123772,
001270,부국증권,2023,00123772,764038625.0
001270,부국증권,2024,00123772,1697266910.0
001290,상상인증권,2022,00112059,
001290,상상인증권,2023,00112059,1769638999.0
001290,상상인증권,2024,00112059,2446469539.0
001390,KG케미칼,2022,00101220,80620112301.0
001390,KG케미칼,2023,00101220,186267183425.0
001390,KG케미칼,2024,00101220,320662892349.0
001520,동양,2022,00117337,13334561198.0
001520,동양,2023,00117337,17386832632.0
001520,동양,2024,00117337,14069870465.0
001560,제일연마,2022,00148461,-2608670679.0
001560,제일연마,2023,00148461,-4028853111.0
001560,제일연마,2024,00148461,810738888.0
000040,KR모터스,2022,00112378,
000040,KR모터스,2023,00112378,1015454384.0
000040,KR모터스,2024,00112378,47636910.0
000180,성창기업지주,2022,00133335,15897934872.0
000180,성창기업지주,2023,00133335,5592793277.0
000180,성창기업지주,2024,00133335,6614261177.0
