stock_code,fiscal_year,neg_KRFPC1,KRFPC2
001140,2023,-0.5606193513711248,-0.11125679266325651
001140,2024,-0.8388790761534185,0.08518546792506168
001200,2022,-1.1492889114476412,-0.4375466758323381
001200,2023,-1.4083971092990064,-0.48261633105563767
001200,2024,-1.548145426931107,-0.37236085745977704
001210,2022,0.30195839359667376,0.033443152968820486
001210,2023,-0.631870948414613,-0.0273455092715331
001210,2024,1.1345556812731874,-0.24355304681816375
001230,2022,0.31552087373686016,0.027085795481758716
001230,2023,0.09485688519249878,0.2912024356274361
001230,2024,-0.18470674460687195,0.2316783294744685
001250,2022,0.7583701664505037,0.13729409821748179
001250,2023,0.7598592364214443,0.29547207609402754
001250,2024,-1.086180935398399,0.015182601440407133
001260,2022,-0.7095972358795587,0.2554608402742791
001260,2023,-0.8561436883796623,-0.05389359291242119
001260,2024,-0.5983882833889385,-0.1776292765964854
001270,2022,-1.5376711096348583,-0.3088799766033315
001270,2023,-1.2321928504538808,-0.2311418007302177
001270,2024,-1.1312190962663047,-0.26777230272852076
001290,2022,-2.9207799694503622,-0.23606821195460978
001290,2023,-1.578548541823847,-0.3118938578617809
001290,2024,-1.7751562016014881,0.19317690026076137
001340,2022,-0.49674605465862026,0.8928607700911885
001340,2023,-0.8738517877405726,-0.37301001007803447
001340,2024,-0.6012666595806111,-0.43916740501387047
001360,2022,-0.1783556641202961,0.4146954812927058
001360,2023,0.08712256157111217,0.3877364573305815
001360,2024,-0.29013284060394773,0.45792503219294284
001380,2022,0.2058552910802773,-1.0055922159288053
001380,2023,0.20585528274867806,-1.0055919619530431
001380,2024,-0.09818299002700191,-0.5795676287346512
001390,2022,1.4972208029657676,0.11923140401890883
001390,2023,1.3854951583065798,0.18543724841852768
001390,2024,0.5651583845957087,0.6806426205176221
001420,2022,-1.16126926313296,0.06665156257680038
001420,2023,-1.6054311397247145,-0.12638655035911134
001420,2024,-0.31385853607217834,-0.0821114172443923
001430,2022,1.940421211765419,0.28520052895670234
001430,2023,2.021698387271833,0.38929542791531924
001430,2024,1.458805280101794,0.46207014738222313
001440,2022,0.42099150748860936,0.19801905199366823
001440,2023,0.32194665218520957,0.3754952859892656
001440,2024,0.6898435498545896,0.24042053662711058
001450,2022,0.7568451069898748,0.440773135716816
001450,2023,0.6913132469341753,0.6306901801099059
001450,2024,1.004707980907973,0.5013609499692369
001460,2022,-3.510409593207834,-1.787245569639913
001460,2023,-2.5611480149395582,-1.7336411562587803
001460,2024,-2.398187085242358,-1.3513519722512624
001470,2022,-0.5527665721990472,0.2809757426202591
001470,2023,-0.4920275133797043,0.3901255136145571
001470,2024,-0.36121213928377205,0.3630351100921519
001500,2022,-1.510266557458573,0.9287235218302705
001500,2023,-1.314976551569935,0.9208366715035669
001500,2024,-1.2597344461961102,1.0339437681559571
